station,depth
0,0
7.419939533249959,6.74
7.8180185649264144,5.83
12.948664010280403,8.23
13.462226718766688,8.08
13.736670282595439,7.72
13.82362270007026,7.26
14.251138748406634,7.13
14.70492166974643,6.79
15.215767118163804,6.27
15.850248030335775,5.79
17.145023856164933,5.66
17.325721846101168,5.67
17.744180350705676,5.66
20.122238363823776,8.86
20.71369594492132,8.59
20.854087868180216,8.51
20.893488182043203,8.809999999999999
24.536885004266264,5.68
24.676371172621508,5.66
25.890534862475665,9.280000000000001
26.65318001463232,9.129999999999999
27.39952158823025,8.809999999999999
32.41423047871368,9.65
33.16011917464658,9.39
37.35964916104938,9.86
38.14810831355532,9.85
38.91165921937309,9.73
43.08537520655221,9.65
43.883344777674886,9.63
44.63738526468115,9.8
48.811554128705176,9.72
49.60046615669875,9.73
50.36401706227664,9.7
54.52007084058168,9.66
55.30943574607421,9.66
56.08068556505427,9.69
61.02746287807849,9.57
61.798712697019596,9.63
66.7187702584261,9.55
67.49953049744784,9.56
72.42773984923059,9.42
73.20804721099327,9.49
73.98790169540257,9.54
78.13670943819804,9.469999999999999
78.91701680028467,9.440000000000001
79.68917237193763,9.42
84.63413817965913,9.54
85.39768908549742,9.469999999999999
89.53789216250486,9.63
90.3349559785066,9.62
91.1066586751394,9.58
95.255919295604,9.61
96.03577377910912,9.65
96.81517538766994,9.69
100.9739464289656,9.29
101.76195270134615,9.4
102.5255036072685,9.54
106.68246314011833,9.16
107.47137516784741,9.17
108.24217210949257,9.25
112.3837338192019,9.120000000000001
113.18079763519954,9.120000000000001
113.96019924228824,9.129999999999999
118.09270340771826,9.07
118.88931434756194,9.08
119.66101704264473,9.120000000000001
123.80122012113249,9.030000000000001
124.59013214897024,9.04
125.36183484365117,9.05
129.51154834062032,8.969999999999999
130.30000749296227,8.96
131.07080443370114,8.98
135.22097080746806,8.92
136.0089770823459,8.92
136.7802269005161,8.96
140.94669685275156,8.879999999999999
141.7270042144035,8.95
142.48964936727978,8.92
146.66472398681023,8.61
147.43687955798956,8.73
148.20812937698602,8.84
152.38320399667842,8.54
153.1544538149614,8.559999999999999
153.92615650946598,8.59
158.20584575541304,8.440000000000001
158.88153849037977,8.5
159.64373076657108,8.530000000000001
164.93877062268209,8.23
165.5619296071416,8.370000000000001
170.86738563940554,7.94
171.64724012370618,7.95
172.22601714627353,8.190000000000001
177.4970545139235,7.86
178.25064212216785,7.87
184.17246398136453,7.71
184.8726120845917,7.78
190.80303860885883,7.6
191.48597737990514,7.67
196.64651271872034,7.53
197.39919457307803,7.53
202.55157812092648,7.28
203.3314326054096,7.3
203.9958034132994,7.48
209.1844171350893,7.12
209.91037923715467,7.17
215.8095572374758,7.03
216.49838341128464,7.09
222.4428491290945,6.71
223.08774621644963,6.92
229.03175905640379,6.57
229.70382877537486,6.71
235.64014270352195,6.51
236.34708396437634,6.54
242.2485263517473,6.45
242.9821873647812,6.49
249.1222960179617,6.22
249.83648331298275,6.26
256.6948551571536,6.06
263.48212528543013,5.66
264.02920090534076,6.03
270.20825699756097,5.13
270.9482582913382,5.220000000000001
277.7432273311306,4.529999999999999
284.4163724117883,4.029999999999999
284.43675188567454,3.96
285.05130620235934,4.43
291.1012923009707,3.1100000000000003
291.67871069163994,4.01
291.8788824003517,3.1100000000000003
298.53753541241576,2.7
305.5376578095253,3.3
305.8696167746315,2.52
312.30454846613793,2.7
313.2275121355809,2.24
320.490303290424,2.35
327.9102428236739,0
