Dist left bank,1.0
Dist right bank,1.0
Min bank height,1.5
lat,lon,depth_below_waterlevel[m]
9.36537512,31.55111230,1.80
9.36538433,31.55112074,1.20
9.36539336,31.55111147,0.85
9.36538446,31.55111150,0.74
9.36537546,31.55111168,1.02
9.36536649,31.55111185,1.20
9.36535741,31.55111218,1.61
9.36535739,31.55110320,1.61
9.36534830,31.55110351,2.46
9.36535718,31.55110353,2.51
9.36534828,31.55110355,2.53
9.36534811,31.55109481,2.93
9.36533916,31.55109489,3.03
9.36532997,31.55109532,3.63
9.36532991,31.55108640,3.72
9.36532079,31.55108670,4.16
9.36532052,31.55107802,4.53
9.36531154,31.55107812,4.56
9.36530230,31.55107852,4.72
9.36530221,31.55106961,4.76
9.36529295,31.55107000,4.95
9.36529288,31.55106106,4.99
9.36528389,31.55106115,5.01
9.36528379,31.55105224,5.04
9.36527483,31.55105231,5.07
9.36527469,31.55104342,5.21
9.36526579,31.55104343,5.21
9.36526562,31.55103457,5.42
9.36525670,31.55103459,5.53
9.36525658,31.55102569,5.59
9.36524762,31.55102575,5.62
9.36524754,31.55101680,5.67
9.36523853,31.55101690,5.78
9.36523851,31.55100790,5.80
9.36523836,31.55099901,5.98
9.36522936,31.55099909,6.03
9.36522931,31.55099012,6.03
9.36522026,31.55098123,6.10
9.36522013,31.55097231,6.17
9.36521117,31.55097236,6.21
9.36521106,31.55096343,6.28
9.36520203,31.55096353,6.36
9.36520198,31.55095455,6.37
9.36519294,31.55095465,6.44
9.36519292,31.55094565,6.45
9.36519267,31.55093680,6.69
9.36518374,31.55093683,6.73
9.36518354,31.55092794,6.87
9.36517453,31.55092801,6.94
9.36517439,31.55091908,7.00
9.36517435,31.55091009,7.03
9.36516545,31.55091010,7.04
9.36516542,31.55090110,7.06
9.36516539,31.55089210,7.09
9.36515649,31.55089211,7.11
9.36515646,31.55088311,7.23
9.36515643,31.55087411,7.34
9.36514753,31.55087412,7.38
9.36514751,31.55086512,7.45
9.36514747,31.55085613,7.42
9.36513856,31.55085613,7.42
9.36513855,31.55084713,7.42
9.36513852,31.55083813,7.46
9.36512961,31.55083814,7.47
9.36512960,31.55082913,7.46
9.36512957,31.55082014,7.48
9.36512066,31.55082015,7.53
9.36512065,31.55081114,7.54
9.36512062,31.55080214,7.55
9.36511171,31.55080215,7.57
9.36511171,31.55079314,7.58
9.36511168,31.55078414,7.62
9.36510276,31.55078415,7.62
9.36510276,31.55077514,7.62
9.36510274,31.55076614,7.63
9.36509382,31.55076615,7.66
9.36509381,31.55075714,7.67
9.36509378,31.55074815,7.75
9.36508487,31.55074815,7.79
9.36508486,31.55073915,7.90
9.36508482,31.55073015,8.04
9.36507591,31.55073016,8.11
9.36507589,31.55072116,8.15
9.36507587,31.55071216,8.19
9.36506695,31.55071217,8.13
9.36506695,31.55070316,8.12
9.36506692,31.55069416,8.08
9.36505801,31.55068516,8.04
9.36505797,31.55067616,7.97
9.36504907,31.55067617,7.97
9.36504905,31.55066716,7.94
9.36504902,31.55065816,7.92
9.36504012,31.55065817,7.92
9.36504010,31.55064916,7.99
9.36504008,31.55064016,8.04
9.36503117,31.55064017,8.05
9.36503115,31.55063116,8.06
9.36502224,31.55062216,8.07
9.36502221,31.55061316,8.13
9.36501329,31.55061318,8.16
9.36501328,31.55060417,8.16
9.36501325,31.55059517,8.19
9.36500434,31.55059518,8.22
9.36500433,31.55058617,8.23
9.36500429,31.55057717,8.20
9.36499537,31.55057719,8.15
9.36499537,31.55056817,8.13
9.36499532,31.55055918,8.30
9.36498640,31.55055920,8.36
9.36498639,31.55055019,8.35
9.36498635,31.55054119,8.23
9.36497741,31.55053220,8.15
9.36497735,31.55052321,7.89
9.36496844,31.55052322,7.78
9.36496840,31.55051423,7.63
9.36496834,31.55050524,7.31
9.36495942,31.55050525,7.36
9.36495939,31.55049625,7.31
9.36495824,31.55048768,7.09
9.36495746,31.55047890,7.01
9.36494779,31.55047909,6.73
9.36494745,31.55047015,6.58
9.36494682,31.55046124,6.22
9.36494596,31.55045232,5.76
9.36494551,31.55044334,5.63
9.36494509,31.55043434,5.29
9.36493616,31.55043434,5.24
9.36494474,31.55042533,4.77
9.36493567,31.55042532,4.33
9.36494454,31.55041631,4.29
9.36494515,31.55040730,4.16
9.36495421,31.55040729,4.18
9.36494537,31.55040729,4.17
9.36495438,31.55040728,4.16
9.36494588,31.55040726,4.16
